SKU,Code,mrp,wholesale_price,Mk UP,Promotion Type
14396,SRT0110044,111,55,2.018181818,15%
14397,SRT0110045,104,51,2.039215686,15%
14398,SRT0110046,104,51,2.039215686,15%
14399,SRT0110047,104,51,2.039215686,15%
14400,SRT0110048,104,51,2.039215686,15%
14401,SRT0110049,104,51,2.039215686,15%
14402,SRT0110050,102,50,2.04,15%
14453,BLR0840002,27,7,3.857142857,B1G1
14458,BLR0840007,85,26,3.269230769,B1G1
14460,BLR0840009,136,43,3.162790698,B1G1
14461,BLR0840010,32,8,4,B1G1
14465,BLR0840014,136,43,3.162790698,B1G1
14467,BLR0840016,106,33,3.212121212,B1G1
14470,BLR0720085,579,284,2.038732394,15%
14472,BLR0720087,429,209,2.052631579,15%
14473,BLR0720088,347,168,2.06547619,15%
14474,BLR0720089,401,195,2.056410256,15%
14475,BLR0720090,401,195,2.056410256,15%
14476,BLR0720091,579,284,2.038732394,15%
14477,BLR0720092,579,284,2.038732394,15%
14478,BLR0720093,597,293,2.037542662,15%
14479,BLR0720094,341,165,2.066666667,15%
14482,BLR0840021,107,32,3.34375,B1G1
14483,BLR0840022,71,20,3.55,B1G1
14503,MUM0260001,57,22,2.590909091,B1G1
14504,MUM0260002,86,34,2.529411765,B1G1
14505,MUM0260003,80,31,2.580645161,B1G1
14506,MUM0260004,63,24,2.625,B1G1
14509,MUM0260007,30,11,2.727272727,B1G1
14510,MUM0260008,39,15,2.6,B1G1
14515,MUM0260013,74,29,2.551724138,B1G1
14517,MUM0260015,80,31,2.580645161,B1G1
14521,MUM0260019,68,27,2.518518519,B1G1
14524,MUM0260022,30,11,2.727272727,B1G1
14527,MUM0260025,83,33,2.515151515,B1G1
14528,MUM0260026,86,34,2.529411765,B1G1
14531,MUM0260029,42,16,2.625,B1G1
14532,MUM0260030,98,39,2.512820513,B1G1
14533,MUM0260031,54,21,2.571428571,B1G1
14567,VNS0350060,77,22,3.5,B1G1
14568,VNS0350061,77,22,3.5,B1G1
14573,VNS0350066,82,24,3.416666667,B1G1
14574,VNS0350067,82,24,3.416666667,B1G1
14575,VNS0350068,82,24,3.416666667,B1G1
14576,VNS0350069,82,24,3.416666667,B1G1
14580,SRT0061035,138,68,2.029411765,15%
14583,SRT0061038,205,102,2.009803922,15%
14585,SRT0061040,165,82,2.012195122,15%
14760,SRT0050320,61,26,2.346153846,30%
14765,SRT0050325,88,39,2.256410256,20%
14766,SRT0050326,82,36,2.277777778,20%
14772,SRT0050332,69,30,2.3,30%
14779,SRT0050339,65,28,2.321428571,30%
14784,SRT0050344,73,31,2.35483871,30%
14786,SRT0050346,68,29,2.344827586,30%
14917,BLR0050152,95,30,3.166666667,B1G1
15036,MUM0160533,20,7,2.857142857,B1G1
15044,MUM0160541,20,7,2.857142857,B1G1
15045,MUM0160542,22,8,2.75,B1G1
15046,MUM0160543,23,9,2.555555556,B1G1
15048,MUM0160545,23,9,2.555555556,B1G1
15050,MUM0160547,17,5,3.4,B1G1
15056,MUM0160553,17,5,3.4,B1G1
15101,SRT0110052,215,107,2.009345794,15%
15103,SRT0110054,328,163,2.012269939,15%
15106,SRT0110057,397,198,2.005050505,15%
15107,SRT0110058,213,106,2.009433962,15%
15108,SRT0110059,324,161,2.01242236,15%
15109,SRT0110060,337,168,2.005952381,15%
15113,SRT0110064,291,145,2.006896552,15%
15114,SRT0110065,182,90,2.022222222,15%
15115,SRT0110066,346,172,2.011627907,15%
15116,SRT0110067,288,143,2.013986014,15%
15117,SRT0110068,182,90,2.022222222,15%
15118,SRT0110069,324,161,2.01242236,15%
15119,SRT0110070,200,99,2.02020202,15%
15120,SRT0110071,200,99,2.02020202,15%
15121,SRT0110072,237,118,2.008474576,15%
15122,SRT0110073,200,99,2.02020202,15%
15123,SRT0110074,328,163,2.012269939,15%
15124,SRT0110075,328,163,2.012269939,15%
15126,SRT0110079,251,125,2.008,15%
15127,SRT0110080,270,134,2.014925373,15%
15128,SRT0110081,251,125,2.008,15%
15129,SRT0110083,244,121,2.016528926,15%
15130,SRT0110084,244,121,2.016528926,15%
15131,SRT0110085,219,109,2.009174312,15%
15133,SRT0110087,244,121,2.016528926,15%
15134,SRT0110088,244,121,2.016528926,15%
15135,SRT0110089,291,145,2.006896552,15%
15136,SRT0110090,337,168,2.005952381,15%
15137,SRT0110091,200,99,2.02020202,15%
15197,SRT0110095,400,199,2.010050251,15%
15198,SRT0110096,546,272,2.007352941,15%
15200,SRT0110098,418,208,2.009615385,15%
15201,SRT0110099,710,354,2.005649718,15%
15202,SRT0110100,328,163,2.012269939,15%
15203,SRT0110101,382,190,2.010526316,15%
15204,SRT0110102,467,233,2.004291845,15%
15205,SRT0110103,393,196,2.005102041,15%
15206,SRT0110104,419,209,2.004784689,15%
15207,SRT0110106,285,142,2.007042254,15%
15209,SRT0110112,473,236,2.004237288,15%
15210,SRT0110113,364,181,2.011049724,15%
15211,SRT0110114,435,217,2.004608295,15%
15212,SRT0110115,380,190,2,15%
15213,SRT0110116,397,198,2.005050505,15%
15214,SRT0110119,342,170,2.011764706,15%
15215,SRT0110120,273,136,2.007352941,15%
15216,SRT0110122,470,234,2.008547009,15%
15218,SRT0110124,365,182,2.005494505,15%
15219,SRT0110125,364,181,2.011049724,15%
15220,SRT0110126,328,163,2.012269939,15%
15221,SRT0110127,336,168,2,15%
15222,SRT0110128,364,181,2.011049724,15%
15223,SRT0110129,418,208,2.009615385,15%
15224,SRT0110130,255,127,2.007874016,15%
15225,SRT0110131,540,269,2.007434944,15%
15227,SRT0110133,782,390,2.005128205,15%
15230,SRT0110135,384,191,2.010471204,15%
